HostName,IPAddress,Models,Vendors
ALMQRNY-R01J-FYM-EG,10.45.2.140,mx104,Juniper
SHWSHN-R01J-FYM-EG,10.45.2.138,mx104,Juniper
AELIWA-R01J-SHG-EG,10.45.2.134,mx104,Juniper
BTALLM-R01J-SHG-EG,10.45.2.135,mx104,Juniper
KHWGT-R01J-FYM-EG,10.45.2.139,mx104,Juniper
QELIEN-R01J-KFS-EG,10.45.2.143,mx104,Juniper
AQERQAS-R02J-MN-EG,10.45.2.141,mx104,Juniper
SAFF-R01J-GZ-EG,10.45.2.145,mx104,Juniper
QURSHIA-R01J-GH-EG,10.45.2.148,mx104,Juniper
ZWAKDR-R01J-ALX-EG,10.45.2.144,mx104,Juniper
AZEZAH-R01J-DK-EG,10.45.2.150,mx104,Juniper
TGMOAWL-R03J-C-EG,10.45.2.15,mx104,Juniper
TELBANA-R01J-DK-EG,10.45.2.149,mx104,Juniper
SAMALUT-R02J-MN-EG,10.45.2.142,mx104,Juniper
QAYAT-R01J-MN-EG,10.45.2.147,mx104,Juniper
SENTMAY-R01J-DK-EG,10.45.2.146,mx104,Juniper
SMRTVLG-R04J-GZ-EG,10.45.2.151,mx104,Juniper
ASWNE-S02C-ASN-EG,10.45.2.154,ME360x_t,Cisco
BADARY-R01J-AST-EG,10.45.2.162,mx104,Juniper
RAASBAR-R02J-DT-EG,10.45.2.160,mx104,Juniper
NGAESUZ-R01J-KN-EG,10.45.2.164,mx104,Juniper
KMSHSH-R01J-MNF-EG,10.45.2.16,mx104,Juniper
KHARGA-R02J-WAD-EG,10.45.2.163,mx104,Juniper
ISMLIA-R06J-IS-EG,10.45.2.17,M7i,Juniper
BNMHDT-R01J-AST-EG,10.45.2.161,mx104,Juniper
SMRTVLG-R05J-GZ-EG,10.45.2.152,mx104,Juniper
SNURAS-R02J-FYM-EG,10.45.2.155,mx104,Juniper
MTAKM-R01J-MNF-EG,10.45.2.166,mx104,Juniper
BNIDYT-R01J-AST-EG,10.45.2.182,mx104,Juniper
BAQLIA-R01J-DK-EG,10.45.2.174,mx104,Juniper
KHTATB-R01J-MNF-EG,10.45.2.175,mx104,Juniper
BNSHKR-R01J-AST-EG,10.45.2.181,mx104,Juniper
ALMAZA-R31A-C-EG,10.45.2.171,SR7750,Alcatel
ASAKR-R01J-SHR-EG,10.45.2.176,mx104,Juniper
MRIUTIA-R04J-GZ-EG,10.45.2.172,mx104,Juniper
DMNHRE1-R06C-BH-EG,10.45.2.177,ASR1000,Cisco
EMBABA-R04J-GZ-EG,10.45.2.185,mx104,Juniper
HNVIL1-R02J-ALX-EG,10.45.2.200,mx104,Juniper
ARBDRW-R01J-SHR-EG,10.45.2.201,mx104,Juniper
